file1,file2,cloneAmount
RowSource.java,TestDBMetaData.java,0
ExpressionFunction.java,ExpressionFunctionInsert.java,0
GroupResult.java,IndexDescriptions.java,0
ExpressionFunctionChar.java,Language.java,0
ExpressionFunctionCos.java,ExpressionFunctionCeiling.java,1
ExpressionFunctionRadians.java,AllTests.java,0
SortedResult.java,ExpressionFunctionRand.java,0
TableStorePage.java,TestOther.java,0
Where.java,ExpressionFunctionRound.java,0
ExpressionFunctionReturnP1.java,Database.java,0
TableStorePageInsert.java,ExpressionFunctionExp.java,0
Database.java,MemoryResult.java,0
CommandUpdate.java,ForeignKey.java,0
ExpressionArithmetic.java,MutableDouble.java,0
Strings.java,ExpressionFunctionReturnString.java,0
TestExceptions.java,StoreNoCurrentRow.java,0
Expression.java,ExpressionFunctionSin.java,0
Language_en.java,ExpressionFunctionInsert.java,0
SSResultSet.java,ExpressionFunctionBitLen.java,0
SSDatabaseMetaData.java,ExpressionName.java,0
ExpressionFunctionReturnP1StringAndBinary.java,SSResultSet.java,0
CommandSet.java,ExpressionFunctionSign.java,0
LongTreeList.java,ExpressionFunctionMinute.java,0
TestThreads.java,ExpressionFunctionCos.java,0
ExpressionName.java,ExpressionFunctionTimestampDiff.java,0
LongList.java,ExpressionFunctionOctetLen.java,0
DateTime.java,CommandLine.java,0
ExpressionFunctionMod.java,StoreNull.java,0
DataSource.java,ExpressionFunctionBitLen.java,0
ForeignKey.java,MutableLong.java,0
ExpressionFunctionLCase.java,SSResultSetMetaData.java,0
TestDeleteUpdate.java,LongTreeList.java,0
SortedResult.java,ExpressionFunctionOctetLen.java,0
ExpressionFunctionHour.java,ExpressionFunctionUCase.java,0
Store.java,ExpressionFunctionFloor.java,0
Distinct.java,MemoryStream.java,0
ExpressionFunctionUCase.java,ExpressionFunctionLeft.java,0
TableStorePage.java,SSSavepoint.java,0
JoinScrollIndex.java,ExpressionFunctionSoundex.java,0
TestGroupBy.java,TestExceptionMethods.java,0
ExpressionFunctionReturnInt.java,IndexDescription.java,0
ExpressionFunctionDayOfWeek.java,Logger.java,0
DataSources.java,ExpressionFunctionRTrim.java,0
ExpressionFunctionReturnInt.java,TestAlterTable.java,0
ExpressionFunctionTimestampAdd.java,TableResult.java,0
ExpressionFunctionLTrim.java,TestOrderBy.java,0
ExpressionFunctionLength.java,StoreNoCurrentRow.java,0
ExpressionFunctionTan.java,ExpressionFunctionDegrees.java,1
CommandSet.java,Expression.java,0
CommandSet.java,ExpressionFunctionReplace.java,0
TestAlterTable.java,ExpressionFunctionATan2.java,0
Table.java,ExpressionFunctionRTrim.java,0
MutableInteger.java,Strings.java,0
SSSavepoint.java,ExpressionFunctionConvert.java,0
TestJoins.java,Logger.java,0
ExpressionFunctionReturnP1.java,ExpressionFunctionCharLen.java,0
ExpressionFunctionTimestampDiff.java,CommandUpdate.java,0
ExpressionFunctionHour.java,ExpressionFunctionDayOfMonth.java,1
ExpressionFunctionLog10.java,Index.java,0
Join.java,TableStorePageInsert.java,0
Scrollable.java,TableStorePage.java,0
ExpressionFunctionLocate.java,SSSavepoint.java,0
TableResult.java,CommandUpdate.java,0
ViewResult.java,ExpressionFunctionSpace.java,0
BenchTest.java,ExpressionFunctionReturnString.java,0
ExpressionFunctionAscii.java,ExpressionFunctionCot.java,0
TestTransactions.java,ExpressionFunctionSubstring.java,0
CommandDelete.java,FileIndex.java,0
ExpressionFunctionRepeat.java,TestScrollable.java,0
TableView.java,BenchTest.java,0
ExpressionFunctionUCase.java,TableViewMap.java,0
Utils.java,Where.java,0
ExpressionFunctionMod.java,ExpressionFunctionTruncate.java,0
ExpressionFunctionCos.java,ExpressionFunctionCos.java,0
TestTokenizer.java,ExpressionFunctionRight.java,0
ExpressionFunctionRound.java,Mutable.java,0
ExpressionFunctionAbs.java,MutableDouble.java,0
View.java,SSDriver.java,0
Column.java,StoreImpl.java,0
TestOrderBy.java,ColumnExpression.java,0
ExpressionFunctionSqrt.java,ExpressionFunctionInsert.java,0
StoreImpl.java,ExpressionFunctionCot.java,0
